Team,Two Pt Percentage,Two-Pt Attempt,Three-Pt Percentage,Three-Pt Attempt,FT Percentage,FT Attempt,Turnovers,O-Rebounds
Atlanta Hawks,0.51,55.7,0.348,28.8,0.784,20,14.9,8.3
Boston Celtics,0.48,58,0.33,26.5,0.788,23.4,13.8,11.5
Brooklyn Nets,0.481,66.1,0.352,18.4,0.757,20.7,14.8,10.5
Charlotte Hornets,0.474,56,0.359,28.5,0.794,23.8,12.3,8.8
Chicago Bulls,0.464,63.1,0.371,21.4,0.787,21,13.9,11.1
Cleveland Cavaliers,0.509,54.3,0.373,30.2,0.743,21.5,13.3,10.7
Dallas Mavericks,0.495,56.4,0.342,28.1,0.788,22.4,12.7,9.2
Denver Nuggets,0.482,60.8,0.338,23.7,0.766,24.1,14.7,11.5
Detroit Pistons,0.482,58.4,0.346,26.1,0.667,25.4,13.4,12.2
Golden State Warriors,0.527,53.1,0.414,31.4,0.759,22.1,15,10
Houston Rockets,0.509,53.8,0.342,30.7,0.691,29.2,16.1,11.5
Indiana Pacers,0.485,61.6,0.353,22.9,0.769,22.9,14.8,10.2
LA Clippers,0.51,58.3,0.36,26.2,0.687,26.5,12.7,9
LA Lakers,0.454,59.9,0.317,24.6,0.781,24.7,13.7,10.7
Memphis Grizzlies,0.469,66.1,0.33,18.4,0.78,24.3,13.4,11.3
Miama Heat,0.506,66.4,0.341,18.1,0.745,22.8,14,9.8
Milwauke Bucks,0.495,68.9,0.345,15.6,0.747,22.7,15.2,10.5
Minnesota Timberwolves,0.496,68.1,0.338,16.4,0.792,27,15,10
New Orleans Pelicans,0.482,60.7,0.36,23.8,0.776,22.2,13.4,9.5
New York Knicks,0.471,63,0.346,21.5,0.805,21.4,13.4,10.4
OKC Thunder,0.524,60.6,0.348,23.9,0.782,25.3,15.7,13
Orlando Magic,0.492,62.3,0.35,22.2,0.757,20.1,14.1,10.3
Philadelphia 76ers,0.476,57,0.339,27.5,0.694,22.6,16.4,9.5
Phoenix Suns,0.472,58.7,0.349,25.8,0.751,23.2,17.2,11.5
Portland Trailblazers,0.484,55.8,0.37,28.7,0.752,23.2,14.5,11.7
Sacramento,0.5,62.1,0.359,22.4,0.725,25.5,16.2,10.6
San Antonio Spurs,0.512,65.9,0.382,18.6,0.802,20.5,12.9,9.2
Toronto Raptors,0.48,61.2,0.36,23.3,0.773,26.5,13.2,10.4
Utah Jazz,0.488,60.6,0.355,23.9,0.744,23,14.9,10.7
Washington Wizards,0.501,60.3,0.358,24.2,0.73,22.5,14.5,9.1
