AvgPts,Ceiling,CeilingPct,Consistency,Floor,FloorPct,ImpPts,OppPlusMinusPct,Plus_Minus,ProjPlusMinusPct,Score,Season_PPG,Season_Plus_Minus,Upside,Vegas,AdjYPA,PassINTPct,PassSackPct,PassTDPct,PassingSuccessfulPct,YardsPerPassingAttempt,ActualPoints
22.8,35.5,94,62,10.1,84,22.08,67,40,34,40.0,20.1,0.3,91,81,6.19,1.4,7.7,5.4,45.01,7.07,23.6
18.9,30.3,71,100,7.5,43,16.94,99,58,49,58.0,15.8,1.6,99,74,5.88,2.4,7.9,3.8,44.48,6.65,17.6
19.9,33.3,90,84,6.5,18,18.81,18,81,38,81.0,21.8,3.9,99,90,8.51,2.1,4.6,6.7,44.6,7.05,18.9
16.0,26.2,30,100,5.8,18,14.37,86,82,45,82.0,18.0,4.0,100,41,5.73,2.6,8.1,3.7,53.55,7.97,14.5
22.0,35.2,95,74,8.8,56,19.28,98,79,60,79.0,19.1,3.7,99,70,6.48,2.3,5.1,5.7,48.52,6.79,25.4
20.2,31.1,74,84,9.3,77,20.21,34,97,27,97.0,25.9,7.0,99,52,7.22,1.9,6.3,7.1,43.38,6.26,22.2
19.0,30.2,68,100,7.8,55,17.64,41,82,42,82.0,18.6,3.9,99,55,6.59,2.7,4.9,4.2,56.19,7.53,26.5
16.5,28.0,54,84,5.0,5,16.94,10,64,25,64.0,16.8,2.1,99,22,6.77,2.2,5.6,4.4,48.83,7.48,12.8
20.2,32.3,86,50,8.1,47,18.81,42,30,42,30.0,16.9,-1.0,91,76,6.39,2.6,4.8,3.4,49.73,7.13,27.4
15.6,26.9,43,84,4.3,2,16.01,1,69,25,69.0,18.2,2.6,99,6,5.95,2.2,7.2,4.2,51.85,7.78,15.1
19.0,30.5,70,100,7.5,49,18.35,5,89,33,89.0,19.9,4.9,99,41,7.13,1.5,8.8,5.2,45.44,6.8,5.5
20.1,33.7,91,62,6.5,17,19.75,15,69,30,69.0,20.2,2.7,99,66,6.84,2.4,4.3,5.8,52.04,7.73,19.3
20.8,34.7,91,100,6.9,47,19.51,39,94,40,94.0,20.5,6.0,99,66,7.33,2.1,4.6,5.5,48.41,7.77,15.0
15.9,28.0,47,16,3.8,2,13.91,90,0,49,0.0,0.0,-14.0,54,46,0.57,0.0,14.3,0.0,48.31,7.2,10.2
