"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9700,"KC@Pit 08:30PM ET",24.167,"Pit"
"WR","Julio Jones",9200,"Car@Atl 01:00PM ET",14.600,"Atl"
"WR","DeAndre Hopkins",8400,"Ten@Hou 01:00PM ET",17.767,"Hou"
"WR","Dez Bryant",7900,"Dal@SF 04:25PM ET",11.667,"Dal"
"QB","Cam Newton",7800,"Car@Atl 01:00PM ET",24.353,"Car"
"RB","David Johnson",7800,"LA@Ari 04:25PM ET",22.200,"Ari"
"WR","Amari Cooper",7600,"Oak@Bal 01:00PM ET",15.667,"Oak"
"QB","Drew Brees",7600,"NO@SD 04:25PM ET",26.627,"NO"
"WR","Alshon Jeffery",7500,"Det@Chi 01:00PM ET",14.700,"Chi"
"RB","Le'Veon Bell",7500,"KC@Pit 08:30PM ET",0,"Pit"
"WR","Brandin Cooks",7400,"NO@SD 04:25PM ET",18.033,"NO"
"QB","Matthew Stafford",7300,"Det@Chi 01:00PM ET",25.367,"Det"
"WR","Marvin Jones Jr.",7300,"Det@Chi 01:00PM ET",25.600,"Det"
"WR","Larry Fitzgerald",7200,"LA@Ari 04:25PM ET",20.067,"Ari"
"WR","Kelvin Benjamin",7100,"Car@Atl 01:00PM ET",17.967,"Car"
"QB","Ben Roethlisberger",7100,"KC@Pit 08:30PM ET",18.847,"Pit"
"RB","Lamar Miller",7000,"Ten@Hou 01:00PM ET",15.033,"Hou"
"WR","Brandon Marshall",7000,"Sea@NYJ 01:00PM ET",10.333,"NYJ"
"QB","Matt Ryan",7000,"Car@Atl 01:00PM ET",26.367,"Atl"
"QB","Philip Rivers",6900,"NO@SD 04:25PM ET",18.220,"SD"
"RB","Ezekiel Elliott",6900,"Dal@SF 04:25PM ET",16.300,"Dal"
"RB","DeMarco Murray",6800,"Ten@Hou 01:00PM ET",24.900,"Ten"
"RB","LeSean McCoy",6700,"Buf@NE 01:00PM ET",19.867,"Buf"
"QB","Derek Carr",6700,"Oak@Bal 01:00PM ET",21.060,"Oak"
"WR","Demaryius Thomas",6700,"Den@TB 04:05PM ET",16.267,"Den"
"RB","Todd Gurley",6700,"LA@Ari 04:25PM ET",11.400,"LA"
"QB","Russell Wilson",6600,"Sea@NYJ 01:00PM ET",13.167,"Sea"
"RB","Matt Forte",6600,"Sea@NYJ 01:00PM ET",20.933,"NYJ"
"WR","Willie Snead",6600,"NO@SD 04:25PM ET",25.800,"NO"
"QB","Kirk Cousins",6500,"Cle@Was 01:00PM ET",18.953,"Was"
"TE","Rob Gronkowski",6500,"Buf@NE 01:00PM ET",0.000,"NE"
"RB","C.J. Anderson",6500,"Den@TB 04:05PM ET",17.767,"Den"
"WR","Mike Evans",6500,"Den@TB 04:05PM ET",24.033,"TB"
"WR","Michael Crabtree",6400,"Oak@Bal 01:00PM ET",17.333,"Oak"
"WR","Emmanuel Sanders",6400,"Den@TB 04:05PM ET",17.500,"Den"
"TE","Jordan Reed",6300,"Cle@Was 01:00PM ET",11.667,"Was"
"WR","Eric Decker",6300,"Sea@NYJ 01:00PM ET",14.467,"NYJ"
"QB","Carson Palmer",6300,"LA@Ari 04:25PM ET",17.860,"Ari"
"RB","Melvin Gordon",6300,"NO@SD 04:25PM ET",19.833,"SD"
"WR","DeSean Jackson",6200,"Cle@Was 01:00PM ET",15.600,"Was"
"RB","DeAngelo Williams",6200,"KC@Pit 08:30PM ET",23.233,"Pit"
"WR","Doug Baldwin",6100,"Sea@NYJ 01:00PM ET",20.733,"Sea"
"RB","Christine Michael",6000,"Sea@NYJ 01:00PM ET",15.933,"Sea"
"TE","Greg Olsen",6000,"Car@Atl 01:00PM ET",17.633,"Car"
"QB","Tony Romo",6000,"Dal@SF 04:25PM ET",0,"Dal"
"WR","Jeremy Maclin",6000,"KC@Pit 08:30PM ET",12.500,"KC"
"QB","Joe Flacco",5900,"Oak@Bal 01:00PM ET",15.987,"Bal"
"RB","Mark Ingram",5900,"NO@SD 04:25PM ET",14.033,"NO"
"WR","Travis Benjamin",5900,"NO@SD 04:25PM ET",17.933,"SD"
"QB","Brock Osweiler",5800,"Ten@Hou 01:00PM ET",12.733,"Hou"
"WR","Julian Edelman",5800,"Buf@NE 01:00PM ET",13.000,"NE"
"WR","Golden Tate",5800,"Det@Chi 01:00PM ET",7.267,"Det"
"WR","Mohamed Sanu",5700,"Car@Atl 01:00PM ET",10.667,"Atl"
"QB","Dak Prescott",5700,"Dal@SF 04:25PM ET",17.360,"Dal"
"RB","Spencer Ware",5700,"KC@Pit 08:30PM ET",18.567,"KC"
"RB","Charles Sims",5600,"Den@TB 04:05PM ET",14.433,"TB"
"QB","Alex Smith",5600,"KC@Pit 08:30PM ET",16.947,"KC"
"QB","Marcus Mariota",5500,"Ten@Hou 01:00PM ET",14.707,"Ten"
"RB","Devonta Freeman",5500,"Car@Atl 01:00PM ET",17.333,"Atl"
"QB","Tyrod Taylor",5400,"Buf@NE 01:00PM ET",16.093,"Buf"
"WR","Sammy Watkins",5400,"Buf@NE 01:00PM ET",6.150,"Buf"
"QB","Trevor Siemian",5400,"Den@TB 04:05PM ET",18.480,"Den"
"QB","Jameis Winston",5400,"Den@TB 04:05PM ET",22.220,"TB"
"RB","Jamaal Charles",5400,"KC@Pit 08:30PM ET",0,"KC"
"WR","Will Fuller",5300,"Ten@Hou 01:00PM ET",16.067,"Hou"
"QB","Ryan Fitzpatrick",5300,"Sea@NYJ 01:00PM ET",14.613,"NYJ"
