Player,Our Prediction,DraftKings Prediction
DeMarcus Cousins,39.839869786657431,49.207999999999998
James Harden,45.839727682464336,52.588000000000001
LeBron James,47.349685307503094,48.816000000000003
Paul George,43.455443551709308,46.957999999999998
Blake Griffin,40.602237368304856,44.513000000000005
Damian Lillard,36.057608506385776,43.5
Rajon Rondo,29.034830861231498,40.313000000000002
Kawhi Leonard,33.685505320883372,41.933999999999997
Kevin Love,31.430805790186035,39.895000000000003
Chris Paul,29.632188837669091,36.950000000000003
Kristaps Porzingis,33.45151202897992,32.988
Carmelo Anthony,34.644964567446152,36.763000000000005
Isaiah Thomas,32.836344538438979,36.303000000000004
Jimmy Butler,36.174370397147413,37.25
Hassan Whiteside,29.288206454942156,37.573999999999998
Derrick Favors,32.177925773827063,35.859000000000002
Chris Bosh,31.704933833205637,36.455999999999996
Kemba Walker,32.50758970302487,34.082999999999998
Andrew Wiggins,33.555198608869674,31.631999999999998
Pau Gasol,39.599386688358429,36.953000000000003
Nicolas Batum,36.231565597363783,34.777999999999999
Rudy Gay,29.316299234173094,30.065999999999999
DeAndre Jordan,31.048356669858979,34.868000000000002
Dwyane Wade,30.628961567536294,32.063000000000002
Dwight Howard,35.523558973337245,35.429000000000002
Greg Monroe,32.534987131339129,35.674999999999997
Gordon Hayward,35.402740405072954,30.824000000000002
Nikola Vucevic,34.925751921128949,33.530999999999999
LaMarcus Aldridge,31.652315088841263,31.153000000000002
Kyrie Irving,0,0.0
Giannis Antetokounmpo,29.590695788083032,30.565999999999999
Karl-Anthony Towns,26.269470765537449,32.207999999999998
Ricky Rubio,28.323611992189996,31.146000000000001
Avery Bradley,27.910885317891925,27.131999999999998
C.J. McCollum,35.550296949501238,32.013000000000005
Victor Oladipo,33.149341610532133,31.75
Jared Sullinger,26.311547096903901,29.5
Derrick Rose,35.162579529717178,27.464000000000002
Al Jefferson,24.429331566037547,27.940999999999999
Tobias Harris,29.116220072040221,30.631999999999998
Rudy Gobert,29.794449604255639,31.535999999999998
Tim Duncan,30.386864009453337,30.355
Elfrid Payton,33.623744126432072,28.0
Evan Fournier,21.754383642826529,28.091999999999999
C.J. Miles,27.213997478834592,25.050000000000001
Monta Ellis,22.83246749565015,26.791999999999998
Tristan Thompson,27.234395380579656,23.868000000000002
Clint Capela,22.902220287140807,21.813000000000002
George Hill,27.775514677173248,26.666999999999998
Khris Middleton,29.841383982158476,26.288
Jae Crowder,25.080910749521639,25.986999999999998
Mo Williams,20.440432983052638,25.780999999999999
Marvin Williams,26.238859556729224,25.458000000000002
Nikola Mirotic,23.810832694599188,24.125
Tony Parker,24.482025462488117,24.774999999999999
Mason Plumlee,22.878536921594485,27.899999999999999
Zach LaVine,30.233259903862336,25.861000000000001
Al-Farouq Aminu,22.671829000656533,25.838000000000001
Trevor Ariza,28.044477382076913,26.125
J.R. Smith,31.715990116001386,22.030999999999999
Alec Burks,27.316937625250567,25.338000000000001
Ian Mahinmi,28.852226165774375,23.529
Michael Carter-Williams,27.381529875966365,23.916999999999998
Jerryd Bayless,28.412301626226892,24.158000000000001
Evan Turner,21.220607161348966,21.920999999999999
Goran Dragic,27.368214443496328,23.425999999999998
Jeremy Lamb,22.389471434465012,23.425999999999998
Terrence Jones,22.599149445029621,22.100000000000001
Rodney Hood,24.030793387845058,22.609000000000002
Jamal Crawford,24.557189217401472,18.908000000000001
Ed Davis,23.341918039011006,21.438000000000002
Jordan Hill,21.933516923062825,23.296999999999997
Marcus Smart,25.931596172615048,23.278000000000002
Arron Afflalo,25.046457104769242,21.916999999999998
Gerald Green,27.454498190904499,15.090999999999999
Kosta Koufos,19.747458337852319,21.300000000000001
Omri Casspi,25.513725616109543,22.789000000000001
Meyers Leonard,22.570527415317681,19.212
Darren Collison,22.943101335246407,22.583000000000002
Donatas Motiejunas,0,0.0
Amir Johnson,26.173341740708384,20.605
Matthew Dellavedova,24.901831527975979,20.736000000000001
Gorgui Dieng,25.94315331089954,20.082999999999998
Jabari Parker,24.485752690686631,17.054000000000002
Rodney Stuckey,26.736626855307453,20.654
Trevor Booker,20.138779549754737,15.172000000000001
Patrick Beverley,24.189991090329251,16.077000000000002
O.J. Mayo,30.563839150594042,18.222000000000001
Joakim Noah,25.830149970773995,20.716999999999999
J.J. Redick,17.381582991657694,18.672000000000001
Luol Deng,22.57317495221951,20.192
Marco Belinelli,15.783482660603561,18.524999999999999
Nemanja Bjelica,15.35870210508007,19.820999999999998
Manu Ginobili,19.283849935876635,21.655999999999999
Danny Green,22.673617504559907,18.375
Jose Calderon,21.30599851767019,18.574999999999999
Jeremy Lin,16.304963648955905,20.263999999999999
Marcus Thornton,12.434326107567539,18.736000000000001
Justise Winslow,22.151318857537998,16.882000000000001
Robin Lopez,17.674171320141255,19.975000000000001
Taj Gibson,19.27647767194944,17.5
Kelly Olynyk,16.116639344513825,17.986000000000001
Cody Zeller,17.333777442843132,15.844000000000001
Kevin Martin,16.387660152218157,17.559000000000001
Ty Lawson,14.722691436078193,18.670999999999999
Lavoy Allen,18.454574227547486,14.925999999999998
Andrew Nicholson,20.506132189640645,15.925000000000001
Austin Rivers,20.560410299864735,14.170999999999999
Aaron Gordon,14.674393512266326,18.737000000000002
David West,12.681166437308402,13.0
Josh Smith,17.913568639456891,16.5
Langston Galloway,18.850486597572406,19.024999999999999
Timofey Mozgov,15.578183757907105,14.952999999999999
Tyler Johnson,17.860083312339629,16.359000000000002
David Lee,14.30843298502829,14.920999999999999
Aaron Brooks,14.459758131770169,15.635999999999999
Patty Mills,17.372072027818312,16.574999999999999
Iman Shumpert,0,0.0
John Henson,19.164623696096218,15.405999999999999
Trey Burke,18.001142532562238,18.074000000000002
Greivis Vasquez,15.530881613272634,17.047000000000001
Ben McLemore,18.233667372967105,13.65
Boris Diaw,18.603407386002946,14.087999999999999
Corey Brewer,14.43241238440174,13.913
Lance Stephenson,19.21741095527792,13.417
Allen Crabbe,17.102252981384673,14.6
Doug McDermott,17.263578592283356,13.734000000000002
Willie Cauley-Stein,13.818873056002349,14.812999999999999
Paul Pierce,9.5622830447503127,11.375
Kirk Hinrich,19.848945316624203,14.607000000000001
Channing Frye,13.394453972635244,13.071
Josh McRoberts,15.778457614495647,10.675999999999998
Maurice Harkless,15.885761506591031,14.699999999999999
Jason Terry,10.923832441795904,10.141
