Player,Our Prediction,DraftKings Prediction,Position,Salary
James Harden,42.341569291202575,52.417000000000002,SG,10600
Andre Drummond,41.869059120811158,46.818000000000005,C,9400
Blake Griffin,40.177739731882014,44.726000000000006,PF,9300
Kyle Lowry,32.829732201946037,44.226999999999997,PG,8900
John Wall,45.074690357713052,41.223999999999997,PG,8700
Kawhi Leonard,32.77398708575052,41.5,SF,8600
Chris Paul,35.178168496135655,36.438000000000002,PG,8400
Paul Millsap,30.161908491121125,41.443000000000005,PF,8300
Eric Bledsoe,33.375058677544757,40.844999999999999,SG,8100
Isaiah Thomas,26.676434924181621,36.606999999999999,PG,8000
Derrick Favors,29.744908870966913,37.118000000000002,PF,7900
Kristaps Porzingis,0,32.681999999999995,PF,7800
Pau Gasol,41.422135775786529,38.167000000000002,C,7700
Jimmy Butler,30.898220793696133,37.167000000000002,SG,7700
Carmelo Anthony,36.670984433212794,36.476999999999997,SF,7600
Nicolas Batum,22.647045008728377,35.600000000000001,SF,7500
Brandon Knight,26.608066821861243,38.239000000000004,PG,7500
Chris Bosh,35.158267609280657,36.289000000000001,PF,7400
Marc Gasol,32.469283199246632,34.320999999999998,C,7300
Reggie Jackson,41.736652756464409,35.420000000000002,PG,7200
Kemba Walker,30.029221582151678,34.238,PG,7200
Greg Monroe,30.26728389461455,35.885999999999996,C,7200
Bradley Beal,30.852698680147398,33.563000000000002,SG,7200
Dwyane Wade,40.189407853925452,32.972000000000001,SG,7100
DeAndre Jordan,37.415818943885171,35.548000000000002,C,7100
Hassan Whiteside,41.307082885658488,36.525999999999996,C,7100
Dwight Howard,32.012480535095875,36.567,C,7000
LaMarcus Aldridge,40.235725008593938,31.475000000000001,PF,7000
DeMar DeRozan,39.264618557334799,34.148000000000003,SG,7000
Nikola Vucevic,34.714646442397672,33.176000000000002,C,7000
Gordon Hayward,29.657938291543353,31.291999999999998,SF,7000
Al Horford,32.985567311544536,33.908999999999999,C,6900
Andrew Wiggins,40.455389483674786,30.670999999999999,SG,6900
Dirk Nowitzki,27.199518283362853,32.786000000000001,PF,6800
Jeff Teague,33.59409397838531,32.131999999999998,PG,6800
