"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","DeMarcus Cousins",10800,"Sac@OKC 07:00PM ET",47.904,"Sac"
"PG","Stephen Curry",10700,"GS@Bkn 06:00PM ET",53.560,"GS"
"PG","Russell Westbrook",10400,"Sac@OKC 07:00PM ET",55.776,"OKC"
"SF","Kevin Durant",10200,"Sac@OKC 07:00PM ET",48.346,"OKC"
"C","Andre Drummond",9300,"LAL@Det 06:00PM ET",48.125,"Det"
"PG","Rajon Rondo",8800,"Sac@OKC 07:00PM ET",40.929,"Sac"
"PG","John Wall",8700,"Dal@Was 06:00PM ET",40.250,"Was"
"SG","Eric Bledsoe",8300,"Pho@Mem 03:30PM ET",41.013,"Pho"
"PF","Draymond Green",8000,"GS@Bkn 06:00PM ET",39.143,"GS"
"PG","Brandon Knight",7800,"Pho@Mem 03:30PM ET",39.050,"Pho"
"PG","Reggie Jackson",7700,"LAL@Det 06:00PM ET",36.763,"Det"
"C","Brook Lopez",7600,"GS@Bkn 06:00PM ET",38.013,"Bkn"
"C","Marc Gasol",7300,"Pho@Mem 03:30PM ET",34.263,"Mem"
"SG","Bradley Beal",7200,"Dal@Was 06:00PM ET",33.804,"Was"
"SF","Rudy Gay",7100,"Sac@OKC 07:00PM ET",30.038,"Sac"
"PF","Dirk Nowitzki",6900,"Dal@Was 06:00PM ET",32.500,"Dal"
"PF","Thaddeus Young",6900,"GS@Bkn 06:00PM ET",31.855,"Bkn"
"PG","Mike Conley",6700,"Pho@Mem 03:30PM ET",30.800,"Mem"
"PG","Deron Williams",6600,"Dal@Was 06:00PM ET",30.684,"Dal"
"SF","Marcus Morris",6400,"LAL@Det 06:00PM ET",28.925,"Det"
"PF","Julius Randle",6400,"LAL@Det 06:00PM ET",28.645,"LAL"
"C","Zaza Pachulia",6300,"Dal@Was 06:00PM ET",29.375,"Dal"
"SG","Klay Thompson",6300,"GS@Bkn 06:00PM ET",27.925,"GS"
"PF","Zach Randolph",6200,"Pho@Mem 03:30PM ET",28.150,"Mem"
"SG","Kobe Bryant",6100,"LAL@Det 06:00PM ET",28.922,"LAL"
"PG","Jarrett Jack",6100,"GS@Bkn 06:00PM ET",30.264,"Bkn"
"PF","Serge Ibaka",6100,"Sac@OKC 07:00PM ET",28.921,"OKC"
"C","Marcin Gortat",5800,"Dal@Was 06:00PM ET",28.484,"Was"
"SG","Jordan Clarkson",5800,"LAL@Det 06:00PM ET",26.000,"LAL"
"PF","Markieff Morris",5700,"Pho@Mem 03:30PM ET",22.941,"Pho"
"SF","Harrison Barnes",5600,"GS@Bkn 06:00PM ET",24.897,"GS"
"SF","Otto Porter",5500,"Dal@Was 06:00PM ET",23.750,"Was"
"PG","D'Angelo Russell",5300,"LAL@Det 06:00PM ET",23.789,"LAL"
"SF","Andre Iguodala",5200,"GS@Bkn 06:00PM ET",22.345,"GS"
"SF","Joe Johnson",5100,"GS@Bkn 06:00PM ET",23.921,"Bkn"
"SF","Jeff Green",5000,"Pho@Mem 03:30PM ET",19.400,"Mem"
"SG","Wesley Matthews",4800,"Dal@Was 06:00PM ET",19.778,"Dal"
"SG","Kentavious Caldwell-Pope",4800,"LAL@Det 06:00PM ET",22.438,"Det"
"SF","T.J. Warren",4800,"Pho@Mem 03:30PM ET",19.487,"Pho"
"C","Roy Hibbert",4700,"LAL@Det 06:00PM ET",23.000,"LAL"
"C","Kosta Koufos",4700,"Sac@OKC 07:00PM ET",22.048,"Sac"
"SF","Omri Casspi",4700,"Sac@OKC 07:00PM ET",22.888,"Sac"
"C","Enes Kanter",4700,"Sac@OKC 07:00PM ET",23.605,"OKC"
"PF","Ersan Ilyasova",4600,"LAL@Det 06:00PM ET",18.813,"Det"
"PG","Darren Collison",4600,"Sac@OKC 07:00PM ET",23.188,"Sac"
"SG","Rondae Hollis-Jefferson",4600,"GS@Bkn 06:00PM ET",18.289,"Bkn"
"C","Andrew Bogut",4500,"GS@Bkn 06:00PM ET",21.679,"GS"
"C","Tyson Chandler",4400,"Pho@Mem 03:30PM ET",19.133,"Pho"
"SF","Matt Barnes",4300,"Pho@Mem 03:30PM ET",18.763,"Mem"
"PF","Jon Leuer",4300,"Pho@Mem 03:30PM ET",17.275,"Pho"
"C","Festus Ezeli",4300,"GS@Bkn 06:00PM ET",21.083,"GS"
"PF","Dwight Powell",4300,"Dal@Was 06:00PM ET",21.300,"Dal"
"C","Alex Len",4300,"Pho@Mem 03:30PM ET",15.038,"Pho"
"SF","Jared Dudley",4200,"Dal@Was 06:00PM ET",15.047,"Was"
"PG","Brandon Jennings",4200,"LAL@Det 06:00PM ET",0,"Det"
"SG","Dion Waiters",4200,"Sac@OKC 07:00PM ET",20.868,"OKC"
"SF","Stanley Johnson",4200,"LAL@Det 06:00PM ET",16.538,"Det"
"PF","Nene Hilario",4100,"Dal@Was 06:00PM ET",17.604,"Was"
"PG","Lou Williams",4100,"LAL@Det 06:00PM ET",21.132,"LAL"
"SF","Chandler Parsons",4100,"Dal@Was 06:00PM ET",14.768,"Dal"
"PG","Raymond Felton",4000,"Dal@Was 06:00PM ET",17.700,"Dal"
"PG","Mario Chalmers",4000,"Pho@Mem 03:30PM ET",19.147,"Mem"
"SG","Marco Belinelli",4000,"Sac@OKC 07:00PM ET",18.083,"Sac"
"SF","P.J. Tucker",3900,"Pho@Mem 03:30PM ET",16.375,"Pho"
"PG","Shane Larkin",3900,"GS@Bkn 06:00PM ET",17.961,"Bkn"
"PF","Kris Humphries",3800,"Dal@Was 06:00PM ET",14.406,"Was"
"SF","Mirza Teletovic",3800,"Pho@Mem 03:30PM ET",14.688,"Pho"
"SG","Courtney Lee",3700,"Pho@Mem 03:30PM ET",16.788,"Mem"
"C","Steven Adams",3700,"Sac@OKC 07:00PM ET",17.408,"OKC"
"SF","Tony Allen",3600,"Pho@Mem 03:30PM ET",15.850,"Mem"
"SG","Nick Young",3500,"LAL@Det 06:00PM ET",14.853,"LAL"
"PG","Ramon Sessions",3500,"Dal@Was 06:00PM ET",16.426,"Was"
"SG","Brandon Rush",3500,"GS@Bkn 06:00PM ET",9.404,"GS"
"PF","JaMychal Green",3500,"Pho@Mem 03:30PM ET",14.538,"Mem"
"SG","Ben McLemore",3500,"Sac@OKC 07:00PM ET",15.012,"Sac"
"PF","Brandon Bass",3400,"LAL@Det 06:00PM ET",13.708,"LAL"
"C","Willie Cauley-Stein",3400,"Sac@OKC 07:00PM ET",14.813,"Sac"
"PG","J.J. Barea",3300,"Dal@Was 06:00PM ET",17.391,"Dal"
"PG","Shaun Livingston",3300,"GS@Bkn 06:00PM ET",11.974,"GS"
"SF","Bojan Bogdanovic",3300,"GS@Bkn 06:00PM ET",14.526,"Bkn"
"SF","Metta World Peace",3200,"LAL@Det 06:00PM ET",12.817,"LAL"
"PG","Devin Harris",3200,"Dal@Was 06:00PM ET",16.079,"Dal"
"SG","Gary Neal",3200,"Dal@Was 06:00PM ET",14.383,"Was"
"C","Ryan Hollins",3200,"Dal@Was 06:00PM ET",3.375,"Was"
"PF","Anthony Tolliver",3200,"LAL@Det 06:00PM ET",11.421,"Det"
"PF","Brandan Wright",3200,"Pho@Mem 03:30PM ET",14.571,"Mem"
"C","Marreese Speights",3200,"GS@Bkn 06:00PM ET",11.059,"GS"
"SG","Andre Roberson",3200,"Sac@OKC 07:00PM ET",12.792,"OKC"
"PG","Steve Blake",3100,"LAL@Det 06:00PM ET",10.047,"Det"
"PG","Leandro Barbosa",3100,"GS@Bkn 06:00PM ET",12.889,"GS"
"PF","Charlie Villanueva",3100,"Dal@Was 06:00PM ET",11.931,"Dal"
"SG","Anthony Morrow",3100,"Sac@OKC 07:00PM ET",9.125,"OKC"
"SG","Garrett Temple",3100,"Dal@Was 06:00PM ET",11.367,"Was"
"PG","D.J. Augustin",3100,"Sac@OKC 07:00PM ET",11.658,"OKC"
"SG","Wayne Ellington",3100,"GS@Bkn 06:00PM ET",8.514,"Bkn"
"PG","Seth Curry",3100,"Sac@OKC 07:00PM ET",7.125,"Sac"
"PF","Thomas Robinson",3100,"GS@Bkn 06:00PM ET",11.092,"Bkn"
"SG","James Ennis",3100,"Pho@Mem 03:30PM ET",2.625,"Mem"
"PF","Larry Nance Jr.",3100,"LAL@Det 06:00PM ET",10.518,"LAL"
"SG","Devin Booker",3100,"Pho@Mem 03:30PM ET",8.938,"Pho"
