,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,position,team,id,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
0,-2.0,0.0,0.0,2.0,2.0,43.25,10.0,13.0,5.0,7.0,4.0,35.0,3.0,4.0,14.0,13.0,3.0,3.0,400827892.0,Nerlens Noel, PF,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
1,-9.0,0.0,0.0,1.0,2.0,38.25,3.0,16.0,10.0,6.0,6.0,38.0,4.0,4.0,26.0,7.0,1.0,8.0,400827892.0,Jahlil Okafor, C,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
2,-3.0,10.0,4.0,2.0,0.0,32.25,6.0,14.0,6.0,2.0,2.0,38.0,1.0,0.0,18.0,7.0,1.0,3.0,400827892.0,Isaiah Canaan, PG,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
3,-15.0,9.0,3.0,3.0,0.0,17.75,2.0,14.0,3.0,0.0,0.0,36.0,1.0,6.0,9.0,3.0,0.0,2.0,400827892.0,Hollis Thompson, SG,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
4,1.0,1.0,0.0,0.0,0.0,18.5,4.0,9.0,5.0,3.0,3.0,27.0,0.0,1.0,13.0,4.0,1.0,3.0,400827892.0,JaKarr Sampson, SG,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
5,-4.0,0.0,0.0,0.0,1.0,7.75,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,2.0,3.0,0.0,0.0,400827892.0,Richaun Holmes, PF,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
6,-12.0,0.0,0.0,0.0,0.0,2.5,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,400827892.0,Christian Wood, PF,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
7,-22.0,1.0,0.0,0.0,0.0,20.5,5.0,7.0,2.0,5.0,5.0,27.0,1.0,2.0,9.0,6.0,2.0,0.0,400827892.0,Jerami Grant, SF,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
8,-19.0,1.0,0.0,4.0,1.0,17.75,0.0,5.0,2.0,0.0,0.0,28.0,1.0,4.0,4.0,1.0,3.0,3.0,400827892.0,T.J. McConnell, PG,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
9,,,,,,,,,,,,,,,,,,,400827892.0,Robert Covington, SF,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
10,,,,,,,,,,,,,,,,,,,400827892.0,Kendall Marshall, PG,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
11,,,,,,,,,,,,,,,,,,,400827892.0,Nik Stauskas, SG,Philadelphia 76ers,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
12,-4.0,0.0,0.0,5.0,1.0,22.75,4.0,8.0,2.0,4.0,4.0,22.0,1.0,3.0,8.0,5.0,0.0,2.0,400827892.0,David Lee, PF,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
13,-4.0,4.0,2.0,3.0,0.0,29.5,4.0,7.0,4.0,4.0,4.0,31.0,2.0,3.0,14.0,6.0,2.0,3.0,400827892.0,Jae Crowder, SF,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
14,-6.0,0.0,0.0,0.0,1.0,8.75,1.0,4.0,2.0,2.0,2.0,11.0,0.0,3.0,6.0,1.0,0.0,1.0,400827892.0,Tyler Zeller, C,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
15,0.0,1.0,0.0,2.0,0.0,11.25,1.0,6.0,2.0,0.0,0.0,33.0,0.0,2.0,4.0,1.0,2.0,2.0,400827892.0,Avery Bradley, PG,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
16,22.0,6.0,3.0,5.0,1.0,30.0,2.0,8.0,3.0,4.0,4.0,32.0,0.0,3.0,13.0,2.0,2.0,1.0,400827892.0,Marcus Smart, PG,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
17,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,400827892.0,Jordan Mickey, PF,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
18,16.0,2.0,1.0,1.0,2.0,29.25,4.0,11.0,6.0,2.0,2.0,20.0,3.0,3.0,15.0,7.0,0.0,1.0,400827892.0,Amir Johnson, PF,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
19,14.0,2.0,1.0,3.0,1.0,15.75,3.0,7.0,2.0,0.0,0.0,15.0,0.0,1.0,5.0,3.0,0.0,0.0,400827892.0,Jonas Jerebko, PF,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
20,5.0,2.0,0.0,2.0,1.0,27.25,7.0,8.0,6.0,0.0,0.0,21.0,0.0,3.0,12.0,7.0,1.0,1.0,400827892.0,Jared Sullinger, C,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
21,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,400827892.0,Terry Rozier, PG,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
22,19.0,6.0,1.0,7.0,0.0,45.0,1.0,19.0,10.0,7.0,6.0,29.0,1.0,1.0,27.0,2.0,3.0,3.0,400827892.0,Isaiah Thomas, PG,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
23,23.0,1.0,0.0,2.0,0.0,12.5,3.0,5.0,2.0,2.0,2.0,22.0,1.0,0.0,6.0,4.0,0.0,3.0,400827892.0,Evan Turner, SG,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
24,,,,,,,,,,,,,,,,,,,400827892.0,Kelly Olynyk, C,Boston Celtics,400827892,1,0,2015-10-28,Boston Celtics,0,112,1,Philadelphia 76ers,95
25,11.0,1.0,1.0,1.0,0.0,23.25,6.0,9.0,4.0,0.0,0.0,22.0,3.0,2.0,9.0,9.0,1.0,2.0,400827911.0,Luis Scola, PF,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
26,-1.0,7.0,4.0,2.0,0.0,34.25,4.0,16.0,8.0,2.0,1.0,35.0,1.0,3.0,21.0,5.0,2.0,4.0,400827911.0,DeMarre Carroll, SF,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
27,6.0,0.0,0.0,2.0,0.0,20.5,9.0,6.0,2.0,2.0,2.0,23.0,1.0,4.0,6.0,10.0,0.0,2.0,400827911.0,Jonas Valanciunas, C,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
28,3.0,1.0,0.0,9.0,2.0,44.75,6.0,11.0,3.0,10.0,8.0,34.0,1.0,4.0,14.0,7.0,3.0,3.0,400827911.0,Kyle Lowry, PG,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
29,13.0,4.0,1.0,6.0,0.0,43.75,6.0,15.0,5.0,14.0,12.0,35.0,1.0,4.0,23.0,7.0,2.0,3.0,400827911.0,DeMar DeRozan, SG,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
30,3.0,0.0,0.0,0.0,0.0,4.75,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,400827911.0,Anthony Bennett, PF,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
31,4.0,0.0,0.0,1.0,0.0,2.75,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,400827911.0,James Johnson, PF,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
32,2.0,5.0,2.0,0.0,0.0,10.5,0.0,6.0,2.0,2.0,2.0,25.0,0.0,3.0,8.0,0.0,1.0,1.0,400827911.0,Patrick Patterson, PF,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
33,2.0,6.0,2.0,0.0,0.0,26.0,4.0,12.0,8.0,3.0,3.0,21.0,0.0,0.0,21.0,4.0,0.0,2.0,400827911.0,Terrence Ross, SF,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
34,6.0,0.0,0.0,0.0,1.0,13.0,4.0,2.0,1.0,2.0,2.0,16.0,2.0,5.0,4.0,6.0,0.0,1.0,400827911.0,Bismack Biyombo, C,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
35,1.0,2.0,1.0,2.0,0.0,13.25,1.0,5.0,3.0,0.0,0.0,18.0,0.0,4.0,7.0,1.0,1.0,1.0,400827911.0,Cory Joseph, PG,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
36,,,,,,,,,,,,,,,,,,,400827911.0,Delon Wright, PG,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
37,,,,,,,,,,,,,,,,,,,400827911.0,Norman Powell, SG,Toronto Raptors,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
38,-9.0,0.0,0.0,2.0,0.0,18.0,4.0,5.0,2.0,2.0,2.0,17.0,2.0,2.0,6.0,6.0,1.0,1.0,400827911.0,David Lee, PF,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
39,-7.0,2.0,0.0,4.0,1.0,25.0,3.0,6.0,1.0,6.0,5.0,34.0,1.0,3.0,7.0,4.0,3.0,2.0,400827911.0,Jae Crowder, SF,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
40,-7.0,0.0,0.0,1.0,0.0,11.5,0.0,8.0,4.0,2.0,2.0,16.0,0.0,3.0,10.0,0.0,0.0,0.0,400827911.0,Tyler Zeller, C,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
41,-11.0,7.0,3.0,3.0,1.0,28.25,5.0,11.0,4.0,2.0,2.0,30.0,0.0,3.0,13.0,5.0,1.0,2.0,400827911.0,Avery Bradley, PG,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
42,-6.0,5.0,1.0,2.0,0.0,15.25,3.0,11.0,2.0,2.0,1.0,28.0,0.0,3.0,6.0,3.0,1.0,0.0,400827911.0,Marcus Smart, PG,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
43,0.0,1.0,1.0,2.0,0.0,27.0,7.0,3.0,3.0,6.0,4.0,19.0,1.0,1.0,11.0,8.0,2.0,3.0,400827911.0,Amir Johnson, PF,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
44,-6.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,400827911.0,Jonas Jerebko, PF,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
45,1.0,5.0,1.0,0.0,0.0,18.0,1.0,10.0,4.0,3.0,2.0,17.0,1.0,0.0,11.0,2.0,2.0,0.0,400827911.0,Kelly Olynyk, C,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
46,-3.0,0.0,0.0,1.0,1.0,14.75,3.0,3.0,3.0,1.0,0.0,14.0,0.0,6.0,6.0,3.0,1.0,1.0,400827911.0,Jared Sullinger, C,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
47,4.0,4.0,1.0,7.0,0.0,39.75,1.0,16.0,7.0,11.0,10.0,29.0,0.0,5.0,25.0,1.0,2.0,3.0,400827911.0,Isaiah Thomas, PG,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
48,-6.0,1.0,0.0,1.0,0.0,12.5,3.0,11.0,2.0,4.0,2.0,28.0,1.0,2.0,6.0,4.0,1.0,4.0,400827911.0,Evan Turner, SG,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
49,,,,,,,,,,,,,,,,,,,400827911.0,Terry Rozier, PG,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
50,,,,,,,,,,,,,,,,,,,400827911.0,R.J. Hunter, SG,Boston Celtics,400827911,0,2,2015-10-30,Boston Celtics,1,103,1,Toronto Raptors,113
51,5.0,1.0,0.0,5.0,1.0,53.5,10.0,18.0,8.0,10.0,8.0,35.0,4.0,1.0,24.0,14.0,1.0,2.0,400827927.0,LaMarcus Aldridge, PF,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
52,3.0,3.0,1.0,2.0,1.0,33.75,5.0,18.0,8.0,2.0,2.0,34.0,0.0,2.0,19.0,5.0,2.0,2.0,400827927.0,Kawhi Leonard, SF,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
53,5.0,1.0,0.0,5.0,1.0,25.75,8.0,9.0,3.0,2.0,1.0,29.0,1.0,4.0,7.0,9.0,0.0,4.0,400827927.0,Tim Duncan, C,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
54,-6.0,0.0,0.0,1.0,0.0,11.0,3.0,6.0,3.0,0.0,0.0,27.0,1.0,2.0,6.0,4.0,0.0,3.0,400827927.0,Tony Parker, PG,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
55,-6.0,5.0,0.0,1.0,1.0,23.0,5.0,10.0,2.0,2.0,0.0,29.0,1.0,1.0,4.0,6.0,4.0,0.0,400827927.0,Danny Green, SG,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
56,-5.0,0.0,0.0,0.0,0.0,3.5,0.0,1.0,1.0,0.0,0.0,9.0,2.0,2.0,2.0,2.0,0.0,2.0,400827927.0,David West, PF,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400827927.0,Kyle Anderson, SF,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
58,7.0,2.0,0.0,0.0,2.0,7.25,1.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,400827927.0,Rasual Butler, SF,San Antonio Spurs,400827927,1,2,2015-11-01,Boston Celtics,2,87,1,San Antonio Spurs,95
