Player,Our Prediction,DraftKings Prediction
DeMarcus Cousins,39.620758143690161,47.903999999999996
Stephen Curry,37.315103668502701,53.560000000000002
Russell Westbrook,43.605727761773487,55.776000000000003
Kevin Durant,44.052110671348409,48.346000000000004
Andre Drummond,41.096348229435975,48.125
Rajon Rondo,28.815719218264221,40.929000000000002
John Wall,41.711108533754341,40.25
Eric Bledsoe,40.392018156184164,41.013000000000005
Draymond Green,43.117631444356789,39.143000000000001
Brandon Knight,35.465064046815797,39.049999999999997
Reggie Jackson,37.572379420469133,36.763000000000005
Brook Lopez,37.364058993902844,38.013000000000005
Marc Gasol,38.762355760389795,34.263000000000005
Bradley Beal,38.375086629658945,33.804000000000002
Rudy Gay,29.097187591205817,30.038
Dirk Nowitzki,31.190510734368015,32.5
Thaddeus Young,32.314364198250445,31.855
Mike Conley,30.086016976720273,30.800000000000001
Deron Williams,36.7249144489722,30.684000000000001
Marcus Morris,31.97717423267018,28.925000000000001
Julius Randle,29.614304508482924,28.645
Zaza Pachulia,30.628731409409159,29.375
Klay Thompson,30.862119567330225,27.925000000000001
Zach Randolph,30.330793021963796,28.149999999999999
Kobe Bryant,32.987393485351213,28.921999999999997
Jarrett Jack,27.349527731976139,30.263999999999999
Serge Ibaka,29.256989356721178,28.920999999999999
Marcin Gortat,35.069240166430845,28.484000000000002
Jordan Clarkson,28.66411894105546,26.0
Markieff Morris,23.439678865441472,22.940999999999999
Harrison Barnes,24.27465657878086,24.896999999999998
Otto Porter,0,23.75
D'Angelo Russell,28.788677905864642,23.789000000000001
Andre Iguodala,20.28891373750756,22.344999999999999
Joe Johnson,26.123952394085876,23.920999999999999
Jeff Green,23.155067541778237,19.399999999999999
Wesley Matthews,30.611624697914685,19.777999999999999
Kentavious Caldwell-Pope,30.679119359457083,22.438000000000002
T.J. Warren,17.798640489720555,19.487000000000002
Roy Hibbert,22.9549479600363,23.0
Kosta Koufos,19.528346694885045,22.048000000000002
Omri Casspi,25.294613973142269,22.888000000000002
Enes Kanter,19.848331903638897,23.605
Ersan Ilyasova,23.381334308407819,18.812999999999999
Darren Collison,22.723989692279133,23.188000000000002
Rondae Hollis-Jefferson,19.104256446686303,18.289000000000001
Andrew Bogut,18.820180098894948,21.679000000000002
Tyson Chandler,12.384217042226457,19.132999999999999
Matt Barnes,23.169405638772123,18.762999999999998
Jon Leuer,22.919943751267429,17.274999999999999
Festus Ezeli,22.084439890580704,21.083000000000002
Dwight Powell,13.856826990335023,21.300000000000001
Alex Len,23.696976807067998,15.038
Jared Dudley,20.258041616190372,15.047000000000001
Brandon Jennings,0,0.0
Dion Waiters,24.231840505820326,20.868000000000002
Stanley Johnson,23.864223559690096,16.538
Nene Hilario,16.314718564833882,17.603999999999999
Lou Williams,0,21.131999999999998
Chandler Parsons,21.117666572738731,14.767999999999999
Raymond Felton,29.088633832710798,17.699999999999999
Mario Chalmers,19.211424196061841,19.147000000000002
