Name,AvgPointsPerGame,DraftKings Prediction,Position,Salary
Anthony Davis,50.59463344216833,48.588000000000001,PF,10700
Blake Griffin,44.453773016928984,45.0,PF,9400
Andre Drummond,48.422164523015219,47.75,C,9300
Kyle Lowry,46.559643461147253,44.131,PG,8900
Damian Lillard,35.898855691901488,43.082999999999998,PG,8800
John Wall,46.610546735455813,41.263999999999996,PG,8600
Kawhi Leonard,38.19499495953481,41.563000000000002,SF,8600
Chris Paul,35.123302544735587,36.950000000000003,PG,8400
Eric Bledsoe,41.575674357287191,41.049999999999997,PG,8200
Carmelo Anthony,33.129303498948303,36.570999999999998,SF,7900
Kristaps Porzingis,33.758808686366386,32.356999999999999,PF,7900
Isaiah Thomas,37.771253344717152,36.663000000000004,PG,7700
Jimmy Butler,39.369846435060865,37.470999999999997,SG,7700
Brandon Knight,32.120791154237082,38.619,SG,7700
Reggie Jackson,40.521329824930802,36.856999999999999,PG,7600
Pau Gasol,42.979445663315886,37.234999999999999,C,7500
Nicolas Batum,37.858329846637645,35.539000000000001,SG,7500
Chris Bosh,32.25102457700855,36.042000000000002,PF,7300
Kemba Walker,31.906226313120705,34.368000000000002,PG,7300
Hassan Whiteside,33.397481214740729,37.167000000000002,C,7300
Robert Covington,32.681816464190774,32.167000000000002,SF,7300
DeMar DeRozan,38.86935450598682,34.332999999999998,SG,7200
Bradley Beal,35.855703651230314,33.733000000000004,SG,7200
Tyreke Evans,35.122635859745351,38.167000000000002,SG,7100
Dirk Nowitzki,34.623331334389768,32.600000000000001,PF,7000
DeAndre Jordan,33.565539001004595,34.924999999999997,C,7000
Andrew Wiggins,33.871584614281751,31.25,SG,7000
Dwyane Wade,35.160803417710675,32.103000000000002,SG,6900
Greg Monroe,34.039380159496005,35.881,C,6900
Karl-Anthony Towns,27.00847081593059,33.118000000000002,C,6900
Jahlil Okafor,31.366854691947943,31.986999999999998,C,6800
LaMarcus Aldridge,34.978340112238755,31.091999999999999,PF,6700
Deron Williams,34.666154197649512,30.913,PG,6600
Ish Smith,26.489163068759002,30.053000000000001,PG,6600
Ricky Rubio,26.632176083425939,31.673000000000002,PG,6600
C.J. McCollum,31.724124250773535,32.356999999999999,SG,6600
Giannis Antetokounmpo,27.190849790379929,30.963000000000001,SF,6600
Derrick Rose,32.875224161423134,28.016999999999999,PG,6400
Avery Bradley,29.779964363986778,27.125,SG,6400
Kobe Bryant,32.995397791875043,27.881999999999998,SG,6300
Zaza Pachulia,31.843718377236399,28.940000000000001,C,6300
Marcus Morris,30.765663147155969,28.344999999999999,SF,6300
Al Jefferson,24.346428691348493,27.940999999999999,C,6200
Jared Sullinger,27.554934686577269,29.100000000000001,C,6200
Julius Randle,30.016736430987336,28.725000000000001,PF,6200
Ryan Anderson,29.25305490243975,30.813000000000002,PF,6100
Nerlens Noel,24.597620436168405,25.824000000000002,PF,5900
Tim Duncan,28.212833909124235,29.824999999999999,C,5800
Marcin Gortat,31.622380990019643,28.484000000000002,C,5800
Jordan Clarkson,28.312601505022048,25.338000000000001,SG,5800
Jamal Crawford,22.899767293486899,20.125,SG,5600
Marvin Williams,24.513391253848713,25.553000000000001,PF,5600
Markieff Morris,21.263675920667438,22.940999999999999,PF,5600
Jonas Valanciunas,23.243279530273526,26.714000000000002,C,5600
DeMarre Carroll,23.784708649904921,24.846999999999998,SF,5500
Jae Crowder,27.939444340089967,25.949999999999999,SF,5500
Otto Porter,0,24.388999999999999,SF,5500
Michael Carter-Williams,25.522047810147427,24.438000000000002,PG,5500
Isaiah Canaan,26.35284123322468,20.548000000000002,PG,5400
Mason Plumlee,23.049793343100561,27.488000000000003,C,5400
Tony Parker,23.969743925217635,24.464000000000002,PG,5300
Eric Gordon,20.502745881430222,26.838000000000001,SG,5300
Al-Farouq Aminu,22.854286367614222,25.881,SF,5300
Khris Middleton,27.542632910059996,25.844999999999999,SG,5300
Jerami Grant,26.164300580722955,23.475999999999999,SF,5300
Zach LaVine,29.585751975535445,25.486999999999998,PG,5300
D'Angelo Russell,29.420659885883744,23.649999999999999,PG,5300
Goran Dragic,26.084000332303251,23.846999999999998,PG,5200
Jerryd Bayless,28.088349088727007,24.158000000000001,PG,5000
Ed Davis,23.590793505789744,21.774000000000001,PF,5000
Nikola Mirotic,23.046198508930523,23.925999999999998,PF,5000
O.J. Mayo,22.708280984266899,19.625,SG,4900
Evan Turner,22.498759416208852,22.149999999999999,SG,4900
Bismack Biyombo,17.156768713252305,15.988,C,4900
Luis Scola,17.087798127484451,20.238,PF,4800
Wesley Matthews,29.531007915432681,21.868000000000002,SG,4800
Gorgui Dieng,27.536848745041766,20.224,C,4800
T.J. Warren,19.540318856109412,18.863,SF,4800
Roy Hibbert,21.121312677104264,22.763000000000002,C,4700
T.J. McConnell,23.543984580784969,24.393000000000001,PG,4700
Marcus Smart,25.868268223813818,23.278000000000002,PG,4700
Jabari Parker,24.389533679587135,18.167000000000002,PF,4700
Joakim Noah,22.759749823376701,20.953000000000003,C,4600
Arron Afflalo,23.482250619159917,21.385000000000002,SG,4600
Ersan Ilyasova,21.095829097147032,18.262,PF,4600
Amir Johnson,24.604527944637429,21.138000000000002,PF,4600
Meyers Leonard,20.566339263375426,19.054000000000002,C,4600
Jeremy Lamb,22.828664065109741,22.833000000000002,SG,4600
Kentavious Caldwell-Pope,27.941695283593035,23.179000000000002,SG,4600
Gerald Green,22.391549902458323,15.604000000000001,SG,4500
Jon Leuer,25.122329693786725,18.179000000000002,PF,4400
Jrue Holiday,22.016113937774332,21.533000000000001,PG,4400
Cody Zeller,16.552948411675008,16.911999999999999,PF,4400
Manu Ginobili,19.687388654058523,22.131999999999998,SG,4300
Tyson Chandler,12.216554095388986,19.132999999999999,C,4300
Jared Dudley,14.942652835339759,15.118,SF,4300
Lou Williams,0,21.180999999999997,PG,4300
Dwight Powell,13.905372774670894,21.300000000000001,PF,4300
J.J. Redick,16.886386397205424,18.672000000000001,SG,4200
Luol Deng,21.453998097031615,20.192,SF,4200
P.J. Tucker,20.147068309992729,16.582999999999998,SF,4200
