"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Anthony Davis",10400,"GS@NO 07:30PM ET",39.750,"NO"
"C","DeMarcus Cousins",10000,"Sac@LAC 10:30PM ET",49.500,"Sac"
"PG","Stephen Curry",9900,"GS@NO 07:30PM ET",54.875,"GS"
"PG","Chris Paul",9600,"Sac@LAC 10:30PM ET",34.250,"LAC"
"PF","Blake Griffin",9500,"Sac@LAC 10:30PM ET",46.750,"LAC"
"PG","John Wall",9200,"NY@Was 07:00PM ET",47.250,"Was"
"PG","Damian Lillard",9100,"Pho@Por 10:00PM ET",41.250,"Por"
"SF","Carmelo Anthony",8700,"NY@Was 07:00PM ET",36.625,"NY"
"C","Marc Gasol",8200,"Bkn@Mem 08:00PM ET",27.125,"Mem"
"SF","Paul George",8100,"Uta@Ind 07:00PM ET",44.250,"Ind"
"C","DeAndre Jordan",7700,"Sac@LAC 10:30PM ET",33.625,"LAC"
"SF","Rudy Gay",7500,"Sac@LAC 10:30PM ET",31.750,"Sac"
"SG","Eric Bledsoe",7300,"Pho@Por 10:00PM ET",28.250,"Pho"
"PF","Derrick Favors",7200,"Uta@Ind 07:00PM ET",43.000,"Uta"
"C","Rudy Gobert",7100,"Uta@Ind 07:00PM ET",32.625,"Uta"
"PF","Zach Randolph",7000,"Bkn@Mem 08:00PM ET",23.000,"Mem"
"C","Brook Lopez",7000,"Bkn@Mem 08:00PM ET",33.000,"Bkn"
"SG","Klay Thompson",7000,"GS@NO 07:30PM ET",17.625,"GS"
"SG","Tyreke Evans",7000,"GS@NO 07:30PM ET",0,"NO"
"SG","Monta Ellis",6900,"Uta@Ind 07:00PM ET",17.750,"Ind"
"PF","Draymond Green",6900,"GS@NO 07:30PM ET",29.875,"GS"
"SF","Gordon Hayward",6900,"Uta@Ind 07:00PM ET",25.125,"Uta"
"PG","Mike Conley",6800,"Bkn@Mem 08:00PM ET",29.250,"Mem"
"PG","C.J. McCollum",6600,"Pho@Por 10:00PM ET",40.250,"Por"
"PG","Brandon Knight",6500,"Pho@Por 10:00PM ET",30.750,"Pho"
"PF","Markieff Morris",6200,"Pho@Por 10:00PM ET",19.125,"Pho"
"SG","Bradley Beal",6200,"NY@Was 07:00PM ET",33.375,"Was"
"PG","Jarrett Jack",6000,"Bkn@Mem 08:00PM ET",32.000,"Bkn"
"PG","George Hill",6000,"Uta@Ind 07:00PM ET",32.000,"Ind"
"C","Marcin Gortat",6000,"NY@Was 07:00PM ET",24.125,"Was"
"PG","Rajon Rondo",5600,"Sac@LAC 10:30PM ET",28.500,"Sac"
"C","Tyson Chandler",5500,"Pho@Por 10:00PM ET",25.375,"Pho"
"PF","Thaddeus Young",5500,"Bkn@Mem 08:00PM ET",18.250,"Bkn"
"C","Mason Plumlee",5400,"Pho@Por 10:00PM ET",25.875,"Por"
"SG","Eric Gordon",5300,"GS@NO 07:30PM ET",28.000,"NO"
"C","Robin Lopez",5200,"NY@Was 07:00PM ET",18.750,"NY"
"SG","J.J. Redick",5100,"Sac@LAC 10:30PM ET",18.125,"LAC"
"PF","Ed Davis",5100,"Pho@Por 10:00PM ET",19.625,"Por"
"SF","Joe Johnson",5000,"Bkn@Mem 08:00PM ET",19.000,"Bkn"
"C","Andrew Bogut",5000,"GS@NO 07:30PM ET",29.750,"GS"
"PF","Ryan Anderson",5000,"GS@NO 07:30PM ET",27.625,"NO"
"PF","Josh Smith",4900,"Sac@LAC 10:30PM ET",15.750,"LAC"
"PG","Jrue Holiday",4900,"GS@NO 07:30PM ET",17.250,"NO"
"SG","Alec Burks",4800,"Uta@Ind 07:00PM ET",26.625,"Uta"
"SF","Harrison Barnes",4800,"GS@NO 07:30PM ET",23.500,"GS"
"SF","Otto Porter",4800,"NY@Was 07:00PM ET",23.500,"Was"
"SG","Arron Afflalo",4700,"NY@Was 07:00PM ET",0,"NY"
"SF","Jeff Green",4700,"Bkn@Mem 08:00PM ET",18.250,"Mem"
"PG","Darren Collison",4700,"Sac@LAC 10:30PM ET",23.250,"Sac"
"PG","Trey Burke",4700,"Uta@Ind 07:00PM ET",13.500,"Uta"
"C","Omer Asik",4600,"GS@NO 07:30PM ET",0,"NO"
"SF","Al-Farouq Aminu",4600,"Pho@Por 10:00PM ET",28.000,"Por"
"SG","Jamal Crawford",4500,"Sac@LAC 10:30PM ET",18.000,"LAC"
"SF","P.J. Tucker",4500,"Pho@Por 10:00PM ET",8.375,"Pho"
"PF","Jordan Hill",4500,"Uta@Ind 07:00PM ET",15.750,"Ind"
"PG","Ish Smith",4500,"GS@NO 07:30PM ET",32.750,"NO"
"C","Meyers Leonard",4500,"Pho@Por 10:00PM ET",18.125,"Por"
"PF","Kristaps Porzingis",4500,"NY@Was 07:00PM ET",26.625,"NY"
"SF","Tony Allen",4300,"Bkn@Mem 08:00PM ET",24.000,"Mem"
"SF","Andre Iguodala",4300,"GS@NO 07:30PM ET",22.375,"GS"
"SG","Gerald Henderson",4300,"Pho@Por 10:00PM ET",0,"Por"
"SG","Courtney Lee",4200,"Bkn@Mem 08:00PM ET",17.250,"Mem"
"SG","Langston Galloway",4200,"NY@Was 07:00PM ET",24.000,"NY"
"PG","José Calderón",4100,"NY@Was 07:00PM ET",7.500,"NY"
