id,away_team_losses,away_team_wins,date,game_id,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score
400578298,1,0,2014-10-29,400578298,Boston Celtics,0,121,1,Brooklyn Nets,105
400578326,1,1,2014-11-01,400578326,Houston Rockets,0,104,3,Boston Celtics,90
400578338,2,1,2014-11-03,400578338,Dallas Mavericks,1,118,3,Boston Celtics,113
400578351,1,4,2014-11-05,400578351,Boston Celtics,3,107,1,Toronto Raptors,110
400578366,5,1,2014-11-07,400578366,Boston Celtics,3,101,2,Indiana Pacers,98
400578378,3,3,2014-11-08,400578378,Chicago Bulls,2,101,5,Boston Celtics,106
400578403,6,3,2014-11-12,400578403,Boston Celtics,4,94,3,Oklahoma City Thunder,109
400578417,3,4,2014-11-14,400578417,Boston Celtics,5,121,3,Cleveland Cavaliers,122
400578440,5,6,2014-11-17,400578440,Boston Celtics,6,114,3,Phoenix Suns,118
400578454,6,4,2014-11-19,400578454,Philadelphia 76ers,11,90,0,Boston Celtics,101
400578468,7,4,2014-11-21,400578468,Memphis Grizzlies,2,117,11,Boston Celtics,100
400578486,3,10,2014-11-23,400578486,Boston Celtics,8,88,4,Portland Trail Blazers,94
400578515,6,10,2014-11-28,400578515,Boston Celtics,9,102,4,Chicago Bulls,109
400578533,4,12,2014-11-30,400578533,Boston Celtics,10,89,4,San Antonio Spurs,111
400578546,11,4,2014-12-02,400578546,Atlanta Hawks,6,109,10,Boston Celtics,105
400578557,16,3,2014-12-03,400578557,Boston Celtics,11,109,5,Detroit Pistons,102
400578571,15,5,2014-12-05,400578571,Boston Celtics,11,113,6,Los Angeles Lakers,96
400578586,6,13,2014-12-07,400578586,Boston Celtics,11,101,7,Washington Wizards,93
400578594,12,7,2014-12-08,400578594,Washington Wizards,6,133,14,Boston Celtics,132
400578608,13,7,2014-12-10,400578608,Charlotte Hornets,15,96,6,Boston Celtics,87
400578623,20,5,2014-12-12,400578623,Boston Celtics,14,95,7,New York Knicks,101
400578649,14,8,2014-12-15,400578649,Philadelphia 76ers,22,87,2,Boston Celtics,105
400578663,18,10,2014-12-17,400578663,Boston Celtics,14,109,9,Orlando Magic,92
400578677,20,5,2014-12-19,400578677,Boston Celtics,14,114,10,Minnesota Timberwolves,98
400578696,15,10,2014-12-21,400578696,Miami Heat,15,100,13,Boston Celtics,84
400578710,16,10,2014-12-23,400578710,Orlando Magic,20,100,11,Boston Celtics,95
400578724,15,13,2014-12-26,400578724,Boston Celtics,17,107,10,Brooklyn Nets,109
400578737,18,10,2014-12-27,400578737,Washington Wizards,8,101,21,Boston Celtics,88
400578767,19,13,2014-12-31,400578767,Boston Celtics,18,106,11,Sacramento Kings,84
400578778,10,24,2015-01-02,400578778,Boston Celtics,19,101,11,Dallas Mavericks,119
400578788,20,11,2015-01-03,400578788,Chicago Bulls,10,109,24,Boston Celtics,104
400578802,24,12,2015-01-05,400578802,Boston Celtics,21,95,11,Charlotte Hornets,104
400578819,21,12,2015-01-07,400578819,Brooklyn Nets,19,81,16,Boston Celtics,89
400578830,22,12,2015-01-09,400578830,Indiana Pacers,23,107,15,Boston Celtics,103
400578845,23,12,2015-01-10,400578845,Toronto Raptors,11,109,25,Boston Celtics,96
400578855,19,18,2015-01-12,400578855,Boston Celtics,23,108,13,New Orleans Pelicans,100
400578872,8,31,2015-01-14,400578872,Boston Celtics,24,91,13,Atlanta Hawks,105
400578883,14,27,2015-01-16,400578883,Boston Celtics,25,103,13,Chicago Bulls,119
400578906,26,13,2015-01-19,400578906,Los Angeles Clippers,14,102,28,Boston Celtics,93
